fips,population,median_home_value,median_rent,median_household_income,median_age,diversity_pct,bachelors_pct,property_tax_pct
01001,59285,197900.0,1200.0,69841.0,39.2,28.32,28.28,0.285
01003,239945,287000.0,1211.0,75019.0,43.7,18.59,32.8,0.307
01005,24757,109900.0,644.0,44290.0,40.7,56.35,11.46,0.378
01007,22152,132600.0,802.0,51215.0,41.3,26.27,11.47,0.204
01009,59292,169700.0,743.0,61096.0,40.9,15.04,15.58,0.299
01011,10157,79400.0,635.0,36723.0,40.4,78.9,9.0,0.389
01013,18807,99700.0,722.0,44881.0,42.2,49.32,13.76,0.343
01015,116141,149500.0,804.0,55826.0,39.0,30.17,20.55,0.408
01017,34450,129700.0,850.0,49295.0,41.5,46.08,14.59,0.382
01019,25224,165900.0,750.0,50769.0,47.4,9.28,15.95,0.388
01021,45500,142300.0,855.0,61873.0,39.5,22.9,15.25,0.336
01023,12525,111800.0,653.0,44483.0,47.0,43.44,13.91,0.178
01025,22802,126400.0,785.0,49167.0,42.5,48.8,15.43,0.307
01027,14188,144700.0,624.0,51852.0,43.8,20.67,15.24,0.225
01029,15254,144200.0,792.0,53319.0,42.3,7.45,18.21,0.289
01031,54231,180300.0,970.0,64672.0,38.8,32.09,21.53,0.341
01033,57648,161600.0,838.0,56736.0,42.3,22.55,20.27,0.374
01035,11411,101300.0,781.0,42266.0,46.3,49.93,13.13,0.324
01037,10323,111800.0,682.0,57063.0,50.3,35.68,14.87,0.271
01039,37647,142500.0,736.0,50886.0,42.8,17.49,17.18,0.251
01041,13144,108400.0,664.0,49040.0,42.4,29.87,16.81,0.32
01043,89463,180500.0,883.0,60916.0,41.1,9.83,19.09,0.253
01045,49516,129100.0,863.0,53955.0,38.0,33.46,19.33,0.33
01047,37536,97400.0,749.0,36810.0,40.3,73.16,17.01,0.424
01049,71946,135500.0,683.0,51149.0,39.6,22.36,13.88,0.338
01051,88669,213600.0,1014.0,75553.0,38.9,27.93,24.39,0.264
01053,36695,122700.0,709.0,44447.0,40.5,39.75,12.49,0.395
01055,103208,160600.0,807.0,53070.0,41.8,23.53,17.48,0.364
01057,16173,121200.0,622.0,50733.0,42.8,16.66,15.6,0.286
01059,31978,128000.0,667.0,51493.0,38.6,26.75,14.89,0.338
01061,26726,120200.0,757.0,50951.0,44.0,19.16,13.32,0.318
01063,7589,86400.0,429.0,31495.0,44.4,82.37,12.48,0.488
01065,14749,126300.0,723.0,41325.0,41.0,61.58,16.77,0.321
01067,17450,147800.0,770.0,60135.0,45.0,29.88,21.68,0.342
01069,107628,178000.0,905.0,57531.0,40.3,36.17,22.77,0.3
01071,52839,145800.0,762.0,49454.0,43.4,11.45,15.55,0.308
01073,669744,224900.0,1132.0,64589.0,37.8,52.05,35.94,0.596
01075,13809,112700.0,548.0,47447.0,44.5,14.14,11.59,0.217
01077,95037,185800.0,799.0,59082.0,40.7,17.28,27.08,0.375
01079,33182,150700.0,708.0,60040.0,42.8,24.47,15.62,0.305
01081,177663,238700.0,999.0,61123.0,33.6,34.14,41.33,0.496
01083,107577,255100.0,908.0,83534.0,40.5,26.48,30.39,0.307
01085,10008,80600.0,663.0,35160.0,42.7,75.53,13.87,0.408
01087,18951,95700.0,709.0,45951.0,37.8,83.3,20.74,0.489
01089,397135,267800.0,1116.0,83528.0,38.2,37.68,45.69,0.404
01091,19027,103400.0,722.0,44205.0,41.1,55.46,20.41,0.384
01093,29190,104300.0,583.0,50714.0,43.8,9.7,12.83,0.295
01095,98712,183400.0,765.0,60946.0,38.6,22.69,21.33,0.381
01097,413162,176600.0,1021.0,58119.0,38.4,44.72,25.15,0.481
01099,19580,114900.0,721.0,40225.0,43.9,46.36,11.36,0.315
01101,227197,160100.0,1061.0,58153.0,36.9,69.44,34.27,0.374
01103,123742,193000.0,835.0,64858.0,40.3,27.2,23.24,0.349
01105,8231,87700.0,610.0,34368.0,42.5,71.98,16.85,0.371
01107,18843,123300.0,600.0,47014.0,42.5,46.82,13.75,0.289
01109,32953,149000.0,855.0,47961.0,31.7,45.33,27.32,0.27
01111,22310,184000.0,646.0,51551.0,44.0,25.69,20.52,0.224
01113,58858,152300.0,898.0,50046.0,37.2,55.99,16.85,0.414
01115,92903,218500.0,1077.0,78993.0,41.0,16.38,19.94,0.305
01117,226955,298700.0,1348.0,93543.0,40.0,26.05,46.2,0.45
01119,12020,84100.0,841.0,37981.0,34.9,74.62,19.03,0.353
01121,81170,137900.0,772.0,56249.0,42.2,37.85,16.82,0.369
01123,41070,144800.0,734.0,57185.0,45.4,31.84,18.73,0.311
01125,234036,233700.0,997.0,63947.0,33.0,40.74,31.38,0.323
01127,64886,131100.0,743.0,54509.0,41.3,13.0,16.0,0.272
01129,15270,152800.0,628.0,60503.0,44.1,34.43,16.2,0.234
01131,10347,84200.0,699.0,42236.0,42.0,72.54,12.34,0.367
01133,23637,110500.0,744.0,48032.0,45.3,7.97,13.37,0.329
02013,3423,144300.0,1040.0,72692.0,41.8,84.57,18.14,
02016,5178,419100.0,1886.0,107344.0,39.1,76.26,17.52,0.708
02020,289069,375900.0,1453.0,98152.0,34.9,44.91,37.68,1.294
02050,18487,120600.0,1454.0,70616.0,28.7,91.25,10.39,
02060,878,269800.0,1318.0,100625.0,39.3,52.05,25.14,0.716
02063,6964,330900.0,1397.0,88565.0,38.4,28.03,29.58,0.917
02066,2626,246700.0,973.0,75053.0,45.5,46.76,28.35,0.081
02068,2029,262000.0,938.0,88935.0,44.1,23.31,23.63,
02070,4780,163800.0,1085.0,74250.0,30.9,85.69,19.35,1.755
02090,95555,282500.0,1424.0,84722.0,32.4,32.54,33.71,1.264
02100,2077,318900.0,914.0,72607.0,52.4,22.63,36.94,0.802
02105,2313,278300.0,986.0,62500.0,51.4,50.8,23.3,0.416
02110,31969,432500.0,1462.0,100513.0,39.8,38.23,40.46,0.934
02122,59843,297500.0,1163.0,77722.0,41.5,22.13,29.39,0.664
02130,13870,379000.0,1388.0,89155.0,40.8,38.56,26.97,0.683
02150,12878,382700.0,1669.0,83716.0,35.4,53.97,28.61,0.917
02158,8277,72700.0,832.0,48233.0,23.6,96.93,5.76,0.274
02164,1007,166100.0,933.0,64000.0,33.4,83.61,18.4,
02170,110677,319200.0,1258.0,90625.0,36.6,23.57,24.28,1.1
02180,9925,201000.0,1328.0,76643.0,29.4,86.17,17.45,1.547
02185,10891,219600.0,1167.0,86313.0,35.2,68.83,14.93,0.948
02188,7611,162500.0,1336.0,81298.0,28.3,90.34,12.39,0.122
02195,3394,301300.0,1208.0,77026.0,45.7,40.87,27.45,0.686
02198,5730,221800.0,915.0,59079.0,43.7,56.2,16.98,0.47
02220,8393,442100.0,1350.0,101207.0,39.6,40.16,34.37,0.472
02230,1308,430000.0,1228.0,78594.0,42.5,31.12,27.75,0.342
02240,6936,262800.0,1304.0,74223.0,37.9,27.54,19.58,0.712
02275,2106,289700.0,1047.0,64545.0,44.3,45.82,18.88,0.62
02282,506,185000.0,1276.0,80625.0,53.2,75.3,14.82,0.762
02290,5271,87800.0,893.0,52642.0,37.3,78.24,12.79,0.862
04001,65680,68500.0,647.0,40338.0,36.2,81.41,15.27,0.838
04003,125458,207400.0,939.0,58970.0,42.9,45.43,27.66,0.639
04005,144643,413200.0,1406.0,69748.0,32.4,47.54,39.62,0.486
04007,53610,247000.0,1001.0,59089.0,51.4,38.0,18.85,0.539
04009,38860,202700.0,890.0,67326.0,34.4,46.95,14.59,0.54
04011,9452,136300.0,570.0,75239.0,36.1,54.08,20.41,0.359
04012,16605,117600.0,735.0,49506.0,59.7,42.18,13.86,0.707
