fips,aqi_mean
01001,42.0
01003,40.0
01005,42.0
01007,42.0
01009,42.0
01011,42.0
01013,42.0
01015,42.0
01017,42.0
01019,42.0
01021,42.0
01023,42.0
01025,42.0
01027,29.0
01029,42.0
01031,42.0
01033,42.0
01035,42.0
01037,42.0
01039,42.0
01041,42.0
01043,42.0
01045,42.0
01047,42.0
01049,43.0
01051,37.0
01053,42.0
01055,47.0
01057,42.0
01059,42.0
01061,42.0
01063,42.0
01065,42.0
01067,42.0
01069,42.0
01071,42.0
01073,57.0
01075,42.0
01077,42.0
01079,33.0
01081,42.0
01083,42.0
01085,42.0
01087,42.0
01089,44.0
01091,42.0
01093,42.0
01095,42.0
01097,45.0
01099,42.0
01101,42.0
01103,44.0
01105,42.0
01107,42.0
01109,42.0
01111,42.0
01113,42.0
01115,42.0
01117,40.0
01119,36.0
01121,42.0
01123,42.0
01125,37.0
01127,42.0
01129,42.0
01131,42.0
01133,42.0
02013,
02016,
02020,
02050,
02060,
02063,
02066,
02068,
02070,
02090,
02100,
02105,
02110,
02122,
02130,
02150,
02158,
02164,
02170,
02180,
02185,
02188,
02195,
02198,
02220,
02230,
02240,
02275,
02282,
02290,
04001,14.0
04003,48.0
04005,46.0
04007,50.0
04009,47.0
04011,47.0
04012,47.0
04013,77.0
04015,19.0
04017,13.0
04019,56.0
04021,77.0
04023,43.0
04025,47.0
04027,47.0
05001,46.0
05003,41.0
05005,41.0
05007,41.0
05009,41.0
05011,41.0
05013,41.0
05015,41.0
05017,41.0
05019,35.0
05021,41.0
05023,41.0
05025,41.0
05027,41.0
05029,41.0
05031,41.0
05033,41.0
05035,41.0
05037,41.0
05039,41.0
05041,41.0
05043,41.0
05045,41.0
05047,41.0
05049,41.0
05051,50.0
05053,41.0
05055,41.0
05057,41.0
05059,41.0
05061,41.0
05063,41.0
05065,41.0
05067,39.0
05069,41.0
05071,41.0
05073,41.0
05075,41.0
05077,41.0
05079,41.0
05081,41.0
05083,41.0
05085,41.0
05087,41.0
05089,41.0
05091,41.0
05093,41.0
05095,41.0
05097,41.0
05099,41.0
05101,39.0
05103,41.0
05105,41.0
05107,41.0
05109,41.0
05111,41.0
05113,38.0
05115,41.0
05117,41.0
05119,55.0
05121,41.0
05123,41.0
05125,41.0
05127,41.0
05129,41.0
05131,41.0
05133,41.0
05135,41.0
05137,41.0
05139,49.0
05141,41.0
05143,41.0
05145,41.0
05147,41.0
05149,41.0
06001,49.0
06003,46.0
06005,40.0
06007,46.0
06009,42.0
06011,54.0
06013,48.0
06015,32.0
