fips,homicide_per_100k,firearm_deaths_per_100k
01001,6.6161632869,17.362710567
01003,3.3882026693,14.343431644
01005,13.005813033,26.529463783
01007,9.5358580047,20.521971894
01009,5.9116795081,18.238190771
01011,19.470946566,27.535205727
01013,17.455434095,24.655592197
01015,10.470133943,26.571057476
01017,11.019096943,23.811224611
01019,8.2891704751,25.507246377
01021,5.1579127217,16.192947971
01025,10.795055864,22.094564737
01027,,23.816966612
01029,9.5411653579,28.049741542
01031,7.1044851161,22.767892718
01033,4.9228154359,20.548834124
01035,18.810472731,33.33777837
01037,17.441002455,26.299969943
01039,6.1332290684,22.63162716
01041,,21.984142105
01043,3.9085600865,17.453818141
01045,6.3870679294,25.64572266
01047,38.578958887,45.638353198
01049,3.7998784039,17.598453571
01051,8.8006598769,21.382151909
01053,13.882194158,22.305884401
01055,6.9572186709,21.245202775
01057,,18.384155309
01059,4.975934571,12.679092177
01061,5.3905740422,15.894881848
01065,17.368984783,36.678304104
01067,8.2899492655,25.509316698
01069,8.9525879083,20.605382353
01071,4.9425700815,23.110166162
01073,24.717972693,33.755202665
01075,,14.482678716
01077,6.3078961013,14.19156462
01079,6.0544205919,23.047483882
01081,8.6947448962,16.663949284
01083,6.582296256,18.628464293
01085,47.009886322,68.850998339
01087,41.500153704,46.712727589
01089,7.9297723885,18.238657635
01091,14.844063117,24.202119264
01093,,20.235541705
01095,5.0480230309,14.26654454
01097,17.086983447,25.451066937
01099,16.389300518,21.310808455
01101,24.11865875,33.069016984
01103,10.717934916,24.120957452
01105,,22.500225002
01107,,15.207120988
01109,13.79262784,22.332745841
01111,,24.773061066
01113,18.401385747,34.512987237
01115,5.1201556527,18.671313749
01117,3.7631735833,13.329145912
01119,22.640569637,30.549570698
01121,17.782677893,31.88997957
01123,8.0908425733,26.640223778
01125,8.2094007816,16.543810077
01127,8.8985388599,23.805720264
01129,13.167366,23.64419224
01131,30.907331757,53.464703748
01133,7.8382664166,24.540707957
02020,9.4330539097,20.978393635
02050,14.891916041,37.0887512
02070,,53.163211058
02090,8.4424667723,26.91225987
02110,5.3279580157,13.124753911
02122,4.1301833801,21.014171008
02130,,17.347056783
02150,,21.351227696
02158,26.007802341,74.686197509
02170,6.4101023213,25.949742159
02180,,38.223992597
02185,,34.169480624
02188,,41.906757465
02240,,37.544042049
02290,29.464548791,
04001,17.290081324,21.257961106
04003,3.1704872926,20.603916646
04005,6.3339244996,16.931625618
04007,8.244351954,35.276643149
04009,3.7327221623,14.016071762
04012,13.459522258,40.717016734
04013,6.1974818803,14.857080274
04015,5.3602385645,28.200020868
04017,13.656102912,23.974543394
04019,6.7323744574,19.091109977
04021,5.6207487031,15.590942983
04023,4.5961796555,6.8401792127
04025,2.9528358297,27.340522815
04027,3.9504988867,11.433830721
05001,12.099311146,28.628030277
05003,11.483610734,23.469627241
05005,6.8632531133,32.490491753
05007,2.515093179,11.424368893
05009,6.1004903269,18.109380659
05011,,22.400179201
05015,,19.113961687
05017,20.517871066,27.378507871
05019,,14.532507402
05021,,23.273961913
05023,7.9720749603,20.01889784
05027,11.540400513,21.43641103
05029,,9.5636123677
05031,7.6249873465,17.43970585
05033,2.9719991953,15.313642541
05035,25.414763022,31.641880527
05037,,14.496080018
05041,16.113438608,26.391259215
05043,14.889115273,29.93978776
05045,5.1708031176,16.440752635
05047,,23.732836074
05049,,24.459047402
05051,11.127633962,28.95537454
05053,,19.746152243
05055,5.3727588485,19.330717829
05057,7.99259353,14.140138196
05059,10.222292264,22.026300594
05061,11.891249122,21.267545725
05063,3.806522095,16.446757601
05065,,26.30348375
05067,8.4266585771,13.077801027
05069,34.390779916,45.632003245
05071,5.9605412171,18.906450881
05073,,30.370212895
05075,,26.807364714
05077,20.598954207,
05079,10.688442587,18.172456613
05081,,22.925263641
05083,,19.525801953
05085,4.8791912253,15.46782015
05087,10.449411785,25.301204819
05089,,29.900014352
05091,9.1998133752,20.308410913
05093,29.275113742,36.805119347
05095,,35.342974111
05101,,26.183493925
05103,7.2822162211,13.754093992
05107,49.96985945,74.211079143
05111,6.6400260772,21.258684172
05113,,27.220211511
05115,6.4848087764,16.248476705
05119,17.82044684,27.115573276
05121,,18.768975987
05123,22.087682436,28.275059782
05125,3.771161223,19.432315124
05129,,27.848806299
05131,6.5903378944,16.570863107
05133,,17.911303226
05135,8.242935804,27.508109161
05137,,30.32479451
05139,14.971863851,26.829570314
05141,,17.096313302
05143,3.2629522588,10.82055606
05145,4.5383911585,18.601948873
05149,8.0536912752,17.023691304
06001,6.5183258939,7.9522135726
06005,6.9473137663,21.596861926
06007,3.9277196561,12.899838207
06009,5.0046136282,18.719580681
06013,5.7806363135,8.0833648168
06015,10.310766502,17.244104672
06017,2.5588324499,9.8054146752
06019,8.0983528411,11.706426828
06021,8.092087961,15.534309641
06023,8.0853052203,14.559423035
06025,4.5775114753,6.6225896533
06029,11.472121788,15.413207012
06031,6.6899590311,8.5465365489
06033,9.6710523424,17.77728737
06035,5.9652729342,16.055178437
06037,6.2793965795,7.9431762186
06039,6.5528712042,10.899044433
06041,1.9242854166,5.1658268985
06043,,18.486424032
06045,6.6664932294,16.145941115
06047,7.8321208242,9.9221256932
06053,8.4402791138,9.0082098803
06055,1.4360034792,7.098301333
06057,2.8557476204,13.337102226
06059,2.2178201716,4.9097592544
06061,1.8189649653,7.3762076658
06063,,12.600409513
06065,4.5537447509,8.6315228911
06067,6.4055560551,9.920590243
06069,3.4594654434,8.5609108809
06071,7.0245034468,11.098886118
06073,2.8939832454,6.725618506
06075,4.9120390616,5.1950762683
06077,9.5501138434,12.023232343
06079,1.7674785958,9.6755922239
06081,2.1186218234,4.2326940651
06083,3.7779875237,7.1223252645
06085,2.4565207002,4.1474802286
06087,3.2462415591,6.0980896081
06089,5.6332619522,17.864930033
06093,7.1981049353,18.766105667
06095,7.8018121394,11.74966337
06097,2.2704953157,7.3559100493
06099,3.8367156461,7.5959837962
06101,5.0074522672,9.4674751067
06103,6.229115777,20.748301426
06105,,31.912468657
06107,7.9997964803,9.7340927633
06109,3.148755061,14.985927848
06111,3.2869003872,6.757448019
06113,2.5564449945,5.2884098116
06115,7.6770099143,15.604511214
08001,6.0325426213,14.410682705
08003,11.27063393,18.249507263
08005,5.2743395876,13.851395972
08007,,24.603806354
08013,1.8916897629,11.094071598
08014,3.0786408006,10.403954628
08015,,19.849934495
08019,,31.308050343
08021,,37.180249851
08029,,30.885844631
08031,7.7450296021,14.57448214
08035,1.1618315112,8.6982772294
08037,,10.524482123
08039,,12.021578734
08041,7.0933090549,21.474202621
08043,5.0733396004,31.542206377
08045,2.8676713075,14.594859956
08049,,17.89503285
08051,,16.181042753
08055,,40.874718986
08059,3.0956286751,13.548962953
08063,,30.995519739
08067,4.6006977725,22.425195953
08069,1.6748885995,12.39887869
08071,10.9495227,33.195020747
08075,,21.044156129
08077,5.1374645398,20.726167175
08081,,18.200846339
08083,,22.126594641
08085,,25.322866548
08087,,13.911398304
08089,,23.95705154
08093,,33.702612496
08097,,14.631565915
08101,9.396994841,26.488555875
08105,,21.230671243
08107,,14.932176483
08117,,9.7292038268
08119,,34.243302647
08123,3.139853155,12.426976059
09001,2.8801930182,4.4732627599
09003,4.1892418032,6.090618097
09005,1.490891828,6.6062488508
09007,1.7507983641,5.3991439903
09009,4.3798258228,6.8322894466
09011,2.184929211,5.7685377955
09013,1.041140181,5.8355747245
09015,1.5933500921,4.9731961874
10001,6.0687751934,12.500663752
10003,9.1722409262,13.339878767
10005,3.0981468125,9.8472404382
11001,22.321244037,20.602334204
12001,4.9471795491,10.911243668
12003,6.0154597315,15.95792658
12005,5.636468427,17.896190908
12007,7.7336330546,14.988865414
12009,5.9852057252,16.826859252
12011,6.4203626419,11.655869398
12015,1.6961239712,14.489764621
12017,3.7535911762,23.994930574
12019,4.2554238369,13.923430294
12021,1.9714413966,9.2939568917
12023,9.1372970251,19.163566678
12027,7.4063101763,16.191709845
12029,8.5571747632,24.89390455
12031,13.815813409,21.838811287
12033,8.7904914831,19.031276616
12035,2.9086567949,15.076918278
12037,,16.566988618
12039,12.866458711,21.622480319
12041,,21.780323656
12047,18.982536067,26.597233888
12049,,11.207411835
12051,9.1081062145,18.835938972
12053,3.8287081038,15.039638719
12055,6.0700455667,19.639135649
12057,5.7691188649,12.449316679
12059,,17.341630113
12061,4.6474287417,16.167459791
12063,9.5907161867,19.423378992
12065,,15.325456977
12069,4.715855706,16.622069545
12071,5.0878296078,13.166269163
12073,6.082167135,13.177182582
12075,5.540300492,17.703349282
12079,10.84447474,16.222178963
12081,5.3879741872,14.694154864
12083,7.6631046397,20.333413616
12085,3.5751026278,14.0570867
12086,8.0656791462,11.132027984
12087,4.4535412147,19.354602472
12089,5.818341407,16.04592298
12091,5.9437993042,16.713592066
12093,6.952749117,13.950825745
12095,7.5371305746,11.380944529
12097,4.6374059452,9.3923220686
12099,6.4593934155,12.440598822
12101,3.2769763867,13.808275519
12103,5.0259523921,13.431307719
12105,5.3105431307,12.053052228
12107,9.700638302,23.711367984
12109,2.895882445,11.469901629
12111,6.0032924724,13.566985623
12113,3.8931899368,15.091127611
12115,3.0452921958,12.672221247
12117,4.0292765388,10.824258783
12119,2.9871155748,12.556827207
12121,4.8435845109,20.708221164
12123,11.103273506,19.365547768
12127,5.6390868981,17.248717466
12129,5.2002756146,17.928751143
12131,4.0005120655,12.414347747
12133,8.5448662444,17.420499176
13001,,11.927092934
13003,17.164729913,
13005,,17.926608465
13009,13.689820504,20.581747569
13011,,13.717421125
13013,5.1069644907,13.723167596
13015,4.6915443626,15.385499445
13017,9.2513940169,21.363717287
13019,,17.821574589
13021,20.742333708,30.964787312
13025,,18.077413866
13027,,16.627442955
13029,4.7470203319,18.272597524
13031,5.5176777198,13.372559508
13033,12.521991748,19.249951875
13035,9.3128837927,20.901161622
13039,2.6486628226,15.416295024
13043,,22.035329979
13045,3.9743138889,14.845060931
13047,2.3384801155,15.091302379
13049,12.123483187,22.981109528
13051,13.934324525,19.52000044
13055,6.326565825,20.94679514
13057,2.4184844202,11.381253537
13059,5.4063186349,13.76654136
13063,16.068156843,22.309630209
13067,4.4973629958,11.019049017
13069,10.261366946,19.44588488
13071,9.6895287451,18.828186233
13073,3.1654349401,12.777919755
13075,10.786949451,26.674398376
13077,4.2271035984,15.982836059
13079,,19.543655641
13081,13.528835747,25.542318148
13083,,14.812986051
13085,,22.10702851
13087,10.571606779,22.93069014
13089,14.665578273,20.824343103
13091,9.7427903352,18.581725362
13093,10.78865034,20.033286075
13095,18.185592826,25.680534155
13097,6.8160602184,15.355970593
13099,,19.459417385
13103,5.2898857385,16.30226915
13107,9.4724478068,14.157913831
13109,,18.705574261
13111,,23.11034419
13113,4.5047017825,12.828869811
13115,6.5743626155,17.093564883
13117,1.1491951702,7.6236756938
13119,9.3102934604,25.755273392
13121,14.170549588,18.893173355
13123,,27.412455455
13127,7.2368520703,17.836188688
13129,3.4719466709,15.185295112
13131,10.307979521,20.062756302
13133,,21.815960557
13135,5.2044662327,11.403689765
13137,3.7933149147,11.836706064
13139,4.0423926426,12.746547647
13143,8.67754252,23.405735074
13145,,14.258663564
13147,,12.985723343
13149,,25.393600813
13151,9.352885613,20.255870798
13153,5.0186831888,16.881889764
13157,3.2298567962,18.780467225
13159,,29.173149589
13161,,14.617163207
13163,,12.948168482
13167,,25.017720886
13169,,20.278585813
13171,,17.891535199
13175,12.854738466,23.405500293
13177,,24.857559642
13179,10.044056886,22.042404475
13185,7.6143409972,15.168041448
13187,4.333600572,27.396933926
13189,16.648242612,29.868578256
13191,10.391769718,26.341206427
13193,16.447007741,17.155333749
13195,,19.976826881
13199,12.20297617,23.755000428
13205,11.650259218,20.096830182
13207,6.7227238408,29.5038319
13209,,22.192139544
13211,9.0206573052,17.559806636
13213,,11.012003083
13215,19.579368692,30.728789529
13217,12.589472864,22.580119101
13219,,14.375864411
13221,,21.132434324
13223,4.880778275,14.416861771
13225,6.7819953674,16.629431201
13227,,18.982303594
13229,8.0922219034,17.407509805
13231,,19.065574986
13233,7.7492217086,26.229016787
13237,,18.9593998
13241,,18.823972329
13245,15.172215228,22.493547903
13247,9.6057848871,19.920187906
13251,14.259523325,31.440249235
13255,8.8674915597,22.188506354
13257,,16.052345936
13261,14.365270522,20.315706072
13267,9.7282387882,15.269874948
13271,,18.440463646
13275,,10.719454022
13277,11.915776488,20.123291974
13279,9.5219454393,20.802377415
13285,11.44155409,22.020384585
13291,,17.908017908
13293,9.1584958517,16.551682629
13295,3.7290396894,10.959346592
13297,4.7327738482,15.532382919
13299,7.9919441203,12.838833564
13301,29.584207412,
13303,7.0283453167,12.870267702
13305,7.6338427333,18.00540162
13311,,19.364704154
13313,2.0580705177,11.345433847
13319,,24.668101902
13321,,23.620884799
15001,3.9173789174,6.8376203892
15003,2.5799614107,3.2192280006
15007,1.9776368821,5.5265412142
15009,1.633663792,4.0815983539
16001,1.3969148225,12.382326486
16003,,45.949547397
16005,2.8080886167,21.725558175
16009,,23.369946249
16011,3.3820866245,18.293824345
16013,,9.4960203042
16015,,48.82561546
16017,3.8128040314,24.746672224
16019,2.3089187455,18.9818091
16021,,19.565642731
16027,2.4213213915,15.04066631
16029,,28.182509934
16031,,14.876156001
16035,,31.962740577
16039,,15.231961006
16041,,14.276128885
16045,,25.103689151
16047,,19.508642329
16049,,25.176233635
16051,,14.614153143
16053,,16.488861774
16055,2.2808758212,14.965471664
16057,,9.96422842
16059,,34.931011253
16065,,8.4685557819
16067,,15.128020877
16069,3.5109031096,21.03615283
16073,,18.452350997
16075,,22.160573877
16079,,26.257664921
16083,2.8116554697,17.550377561
16085,,17.496894301
17001,3.2559997222,9.4773110117
17003,23.854392786,
17007,,6.0021757887
17011,,7.3148430357
17019,5.5423042027,9.0978216942
17021,,10.988742644
17027,,6.9516486102
17029,,6.7828258849
17031,15.439071589,17.685497029
17037,2.4740295619,8.483105125
17039,,15.373184043
17043,1.7573316183,4.6496499571
17049,4.590984975,11.706654648
17051,,10.26272578
17055,,11.475486795
17057,,9.3468317161
17061,,17.259775309
17063,,7.4046937964
17073,,8.5837260729
17075,,12.487879411
17077,4.0007501407,9.93989911
17081,4.5350102794,7.9874331052
17083,,12.902036679
17089,3.2071616188,6.2313908011
17091,8.4903725706,12.484256985
17093,3.4572053736,6.7835492763
17095,,7.2355991478
17097,3.0736812279,6.1898857267
17099,2.3477944428,7.7106381104
17103,,9.9752964717
17105,,10.614228653
17107,,9.0805585242
17109,,6.822073501
17111,1.1127477776,4.9271431128
17113,3.1551922841,8.9662078763
17115,9.2665523792,16.347128386
17117,4.1059849468,11.573146739
17119,4.5357645031,12.121395779
17121,4.1723404175,11.75452282
17125,,14.994077339
17131,,12.909388999
17133,,7.5257612597
17135,,12.681950766
17137,,9.5557758693
17141,,6.289703755
17143,11.249903628,15.223998355
17157,,7.6043699779
17161,10.448832069,9.2439564133
17163,17.060942675,24.921570352
17165,,17.796459352
17167,6.2714258524,10.973368558
17173,,13.994887201
17177,5.103179919,12.153567072
17179,1.9395882901,7.4372350485
17181,,14.300184711
17183,11.384505129,19.554836783
17189,,17.308274798
17191,,13.57421393
17193,,17.572633552
17195,3.073022702,9.3903496099
17197,3.8441792925,8.0307549025
17199,3.196242923,13.162815047
17201,9.7546455242,14.761502848
17203,,5.7302410869
18003,10.503659976,15.856108711
18005,2.5948953219,10.830481307
18011,3.820739398,11.366418354
18013,,22.361065439
18015,7.0961744524,11.870023245
18017,,9.5445651655
18019,4.6002559195,15.807910346
18021,,14.476300772
18023,,13.560408538
18027,,6.6060908157
18029,3.1591674732,12.028531677
18033,,10.621594163
18035,6.3601252571,13.171389634
18037,,9.8153774246
18039,5.4269552694,10.873628054
18041,,11.244702015
18043,4.2083537652,12.730290964
18047,,16.70829083
18049,,10.942116205
18051,,15.528321269
18053,6.8876452863,17.895924582
18055,,16.342539631
18057,1.4231486776,8.093425303
18059,2.2342915341,12.025196625
18061,3.563664873,18.389113645
18063,2.473531085,11.129191166
18065,4.4222610726,15.722815046
18067,6.5651260504,14.503543699
18069,,10.976406215
18071,3.5415667247,12.134013437
18073,,10.784254988
18075,,11.672129872
18077,,12.356662713
18079,,21.030341707
18081,2.2835033325,11.598675734
18083,3.858828614,14.170867966
18085,,9.5693779904
18087,,9.0502287697
18089,16.601524471,23.099247309
18091,5.9517956309,17.573195985
18093,,13.200158402
18095,5.5054559068,15.55830436
18097,19.635500506,27.212475131
18099,,10.81160561
18103,5.5981638023,14.01840336
18105,3.0373426583,9.3096102559
18107,3.7322067045,13.045497477
18109,,15.853648179
18113,3.0015788305,13.036877542
18117,,12.239652394
18119,,18.136347149
18127,2.7752338134,12.417848901
18129,,17.329247832
18131,,25.771950453
18133,,16.532892456
18135,,13.006438187
18137,,16.104412609
18141,8.6575104695,15.109893147
18143,,15.864533583
18145,,13.41519584
18147,,13.858504667
18149,,17.354482663
18151,,14.440266394
18153,,10.634081264
18157,3.4419724597,11.323992944
18159,,26.314750734
18163,8.1885057001,19.967456356
18165,,15.553712153
18167,4.9309073269,10.850410258
18169,,12.876724676
18173,2.2713180231,12.346538854
18175,,22.837404814
18177,7.5462260246,20.288336629
18179,,10.651517841
18181,,16.497158364
18183,,7.620074794
19005,,15.948732076
19011,,14.839808176
19013,4.6547022777,10.647391845
19019,,10.424564064
19029,,15.437339838
19033,4.0133913491,9.3935522657
19039,,31.692372702
19041,,16.101862862
19043,,14.932059131
19045,,11.167809219
19049,,5.7248630804
19055,,11.671335201
19057,6.5570187421,17.974435218
19061,1.9071594767,7.5895256341
19067,,12.813941568
19087,,10.003201024
19097,,10.329511414
19099,,11.814617905
19101,,12.34678759
19103,1.3321965256,5.9202892259
19109,,16.231789961
19111,,17.190074806
19113,4.2536981779,11.55688945
19123,,12.6486213
19125,,13.829345872
19127,,8.543314605
19139,,9.8335323453
19149,,7.9138341735
19153,4.1272660164,9.9170720559
19155,3.8225715203,12.211921835
19163,4.6253430807,12.007560145
19169,1.4629636132,6.1170435105
19171,,14.203872923
19179,4.4785720684,14.248342918
19181,,8.9025825231
19183,,13.529358708
19187,6.6482341117,13.746309116
19193,3.5992087278,9.2875662707
20001,,19.294155479
20005,,13.605105625
20009,,15.475085113
20015,2.3444110307,15.800378613
20021,,23.260517799
20035,4.062530469,20.61725779
20037,,10.785215011
20041,,16.162051503
20045,2.3700220649,8.7403793984
20051,,15.34031085
20055,4.6506941161,15.202024041
20057,,7.0946724922
20061,5.8605114552,27.66567832
20079,6.2169208006,10.508433017
20087,,28.583830021
20091,2.1550779743,9.7291349072
20099,,17.132779038
20103,4.5762240519,15.661898761
20107,,20.584602717
20111,,13.330424877
20113,,11.774402449
20121,,15.853909163
20125,6.2160614147,25.759755722
20133,,13.804181412
20139,,16.414141414
20149,,11.374715632
20155,2.7460268424,14.190939085
20159,,25.273799495
20161,2.3250992527,8.4349839599
20169,5.759071847,15.857035914
20173,8.4472558882,18.940338321
20175,,11.095495229
20177,10.050695709,21.763055578
20191,,17.550941608
20205,,28.06820574
20209,22.759685414,30.059684772
21001,,12.449553372
21003,10.222091985,23.703422774
21005,,14.805525074
21009,,18.546161849
21013,,17.852291691
21015,1.8380405191,9.2724145667
21017,,11.984300566
21019,3.0047264347,13.962225833
21021,,15.873225836
21023,,26.484326094
21025,,26.395466191
21027,7.7386856898,16.639912298
21029,4.2407022603,19.113384025
21031,,23.629861844
