fips,dem_share_pct,gop_share_pct
01001,26.39,72.66
01003,20.47,78.65
01005,42.29,57.02
01007,17.52,81.94
01009,9.16,90.18
01011,72.65,26.81
01013,38.4,61.08
01015,27.19,71.94
01017,38.01,61.25
01019,11.96,87.48
01021,13.68,85.77
01023,37.84,61.74
01025,41.24,58.3
01027,14.7,84.86
01029,7.92,91.5
01031,20.66,78.56
01033,26.35,72.78
01035,42.69,56.64
01037,28.08,71.39
01039,13.55,85.97
01041,22.48,77.16
01043,9.38,89.9
01045,23.47,75.78
01047,65.92,33.42
01049,12.7,86.65
01051,23.56,75.62
01053,26.55,72.91
01055,21.79,77.47
01057,13.67,85.66
01059,12.98,86.25
01061,11.23,88.21
01063,77.65,21.93
01065,53.06,46.21
01067,24.33,75.14
01069,25.69,73.47
01071,13.94,85.38
01073,54.63,44.19
01075,11.72,87.75
01077,23.76,75.27
01079,18.51,80.82
01081,35.49,63.31
01083,27.46,71.36
01085,68.42,31.1
01087,77.8,21.51
01089,44.73,53.69
01091,47.88,51.64
01093,8.85,90.55
01095,13.79,85.49
01097,41.28,57.73
01099,38.17,61.3
01101,64.83,34.1
01103,23.22,75.79
01105,71.21,28.47
01107,38.08,61.42
01109,37.07,62.24
01111,17.34,82.19
01113,50.4,48.74
01115,17.59,81.72
01117,29.01,69.86
01119,70.32,29.11
01121,32.85,66.62
01123,24.9,74.49
01125,39.35,59.76
01127,13.79,85.6
01129,22.1,77.51
01131,65.57,34.09
01133,7.94,91.57
04001,58.94,39.96
04003,37.84,60.99
04005,59.23,39.36
04007,30.76,68.36
04009,25.47,73.62
04011,28.84,69.77
04012,27.56,71.75
04013,47.71,51.2
04015,21.8,77.58
04017,40.93,58.14
04019,56.99,41.83
04021,38.49,60.57
04023,58.91,40.26
04025,32.61,66.5
04027,39.33,59.75
05001,27.1,71.23
05003,25.23,73.19
05005,20.72,77.57
05007,35.17,62.14
05009,16.68,81.63
05011,29.95,68.96
05013,18.12,80.02
05015,33.04,64.74
05017,51.46,47.51
05019,38.64,59.11
05021,18.26,79.89
05023,15.24,83.17
05025,15.53,83.11
05027,31.06,67.59
05029,28.67,69.0
05031,30.1,67.54
05033,19.94,78.1
05035,50.15,47.87
05037,25.13,72.74
05039,34.34,63.77
05041,46.73,51.5
05043,32.21,66.03
05045,32.59,64.92
05047,17.67,80.07
05049,17.97,80.11
05051,30.75,67.0
05053,14.76,83.62
05055,18.55,79.75
05057,29.17,68.86
05059,22.94,75.11
05061,25.89,72.57
05063,19.19,78.67
05065,16.02,81.92
05067,24.77,73.49
05069,59.25,39.19
05071,23.26,74.69
05073,30.02,68.34
05075,16.95,80.96
05077,50.4,46.87
05079,24.11,74.2
05081,22.13,76.42
05083,17.84,80.04
05085,22.18,75.85
05087,19.88,78.46
05089,19.12,79.35
05091,23.85,74.94
05093,33.35,64.97
05095,41.18,56.93
05097,17.4,80.58
05099,29.21,68.87
05101,17.08,81.25
05103,39.55,58.61
05105,20.14,77.64
05107,55.77,42.49
05109,12.85,85.96
05111,17.45,80.96
05113,13.82,84.3
05115,22.68,74.9
05117,16.38,82.12
05119,59.79,37.67
05121,17.15,80.88
05123,49.39,48.65
05125,28.83,68.98
05127,12.56,86.08
05129,13.21,85.42
05131,30.04,67.59
05133,18.29,80.02
05135,17.7,80.38
05137,18.06,79.73
05139,32.49,66.0
05141,18.86,79.03
05143,45.06,51.71
05145,18.29,79.5
05147,32.79,65.27
05149,18.73,79.47
06001,74.58,21.02
06003,64.91,32.93
06005,34.74,62.57
06007,46.79,49.91
06009,34.67,62.79
06011,34.62,62.87
06013,67.31,29.36
06015,40.38,56.79
06017,42.63,54.62
06019,46.51,50.9
06021,31.22,66.12
06023,61.97,33.57
06025,48.28,49.14
06027,46.93,49.92
06029,38.21,59.27
06031,37.39,60.42
06033,47.81,49.18
06035,21.79,75.8
06037,64.83,31.91
06039,38.41,59.21
06041,80.6,16.69
06043,38.09,59.15
06045,61.32,34.5
06047,46.52,50.88
06049,25.1,71.81
06051,58.08,37.83
06053,63.43,33.55
06055,65.92,31.06
06057,54.37,42.13
06059,49.73,47.08
06061,44.27,52.78
06063,39.93,56.87
06065,48.04,49.31
06067,58.11,38.4
06069,54.9,42.32
06071,47.54,49.68
06073,56.93,40.15
06075,80.33,15.53
06077,48.03,48.92
06079,53.93,43.07
06081,73.51,23.18
06083,61.8,35.12
06085,68.06,28.11
06087,75.3,20.86
06089,30.52,66.97
06091,36.55,60.78
06093,38.76,57.99
06095,60.05,37.06
06097,71.43,25.23
06099,43.22,54.18
06101,33.09,64.5
06103,27.95,69.74
06105,43.38,52.77
06107,38.49,59.2
06109,37.87,59.74
06111,56.1,41.0
06113,66.32,30.07
06115,35.67,61.49
08001,53.17,44.15
08003,43.14,53.96
08005,58.6,38.5
08007,41.73,55.78
08009,13.72,84.13
08011,29.47,68.34
08013,76.55,20.78
08014,62.85,34.33
08015,55.44,41.86
08017,10.24,88.15
08019,56.78,40.19
08021,39.64,57.46
08023,55.53,40.87
08025,24.74,72.16
08027,30.72,66.8
08029,30.96,66.48
08031,76.74,20.59
08033,22.9,75.83
08035,45.29,52.29
08037,60.95,36.51
08039,23.35,74.49
08041,43.75,53.55
08043,29.55,67.98
08045,49.81,47.72
08047,54.59,41.87
08049,47.99,48.79
08051,62.96,33.72
08053,42.41,54.79
08055,44.28,52.86
08057,20.74,76.02
08059,58.33,38.87
08061,11.82,86.21
08063,15.04,83.37
08065,56.23,39.81
08067,57.95,39.3
08069,57.38,39.77
08071,42.04,55.54
08073,16.8,81.29
08075,20.65,77.3
08077,36.65,60.96
08079,42.1,55.38
08081,17.49,80.32
08083,38.27,59.28
08085,32.61,65.21
08087,24.45,73.04
08089,35.45,61.85
08091,59.59,38.38
08093,40.19,56.69
08095,17.5,80.2
08097,71.03,26.79
08099,23.85,74.51
08101,46.21,51.33
08103,17.26,80.98
08105,37.23,60.43
08107,62.49,34.75
08109,50.12,46.38
08111,63.95,31.97
08113,73.46,24.02
08115,20.84,77.17
08117,67.05,29.89
08119,31.02,66.5
08121,11.72,86.81
08123,38.23,59.2
08125,16.26,81.64
09110,60.11,38.17
09120,60.91,37.6
09130,55.86,42.42
09140,45.62,53.0
09150,41.53,56.96
09160,48.59,49.85
09170,58.99,38.92
09180,55.6,42.64
09190,58.77,39.67
10001,50.17,48.17
10003,65.49,32.93
10005,43.92,54.88
11001,91.15,5.08
11002,88.44,7.86
11003,88.64,7.95
11004,91.1,5.92
11005,91.8,5.12
11006,88.87,7.47
11007,91.72,5.65
11008,90.9,6.56
12001,59.74,38.77
12003,13.23,86.31
12005,25.77,73.12
12007,21.15,78.38
12009,39.07,59.91
12011,58.01,41.05
12013,15.88,83.49
12015,32.71,66.69
12017,26.75,72.64
12019,29.91,69.17
12021,33.15,66.22
12023,24.56,74.74
12027,28.23,71.17
12029,14.52,84.93
12031,48.67,50.14
12033,39.69,59.23
12035,35.56,63.8
12037,27.67,71.49
12039,64.95,34.27
12041,15.55,83.58
12043,23.15,76.42
12045,22.65,76.85
12047,30.12,69.14
12049,21.5,77.81
12051,30.43,68.74
12053,31.11,68.16
12055,29.34,70.09
12057,47.84,50.9
12059,9.68,89.87
12061,36.01,63.36
12063,26.66,72.74
12065,40.33,58.94
12067,11.74,87.75
12069,37.28,61.95
12071,35.47,63.86
12073,60.28,38.52
12075,24.59,74.85
12077,16.22,83.04
12079,35.29,64.15
12081,37.87,61.39
12083,33.83,65.47
12085,34.12,65.24
12086,43.9,55.35
12087,40.46,58.8
12089,26.12,73.06
12091,28.23,70.67
12093,22.86,76.69
12095,56.13,42.54
12097,48.74,50.19
12099,49.95,49.19
12101,36.88,62.1
12103,46.89,52.12
12105,39.23,59.91
12107,25.79,73.61
12109,33.86,65.21
12111,45.11,54.17
12113,24.05,75.0
12115,40.55,58.74
12117,47.58,51.13
12119,30.94,68.56
12121,19.26,80.22
12123,19.92,79.56
12125,15.58,83.84
12127,38.69,60.45
12129,27.4,71.75
12131,20.74,78.57
12133,17.01,82.41
13001,18.72,81.13
13003,22.9,76.87
13005,13.33,86.51
13007,39.97,59.82
13009,48.65,50.86
13011,10.8,88.96
13013,29.47,69.95
13015,24.23,75.19
13017,33.83,65.85
13019,14.99,84.79
13021,60.96,38.53
13023,22.15,77.51
13025,8.66,91.11
13027,36.46,63.25
13029,31.56,67.9
13031,35.26,64.26
13033,45.11,54.44
13035,27.22,72.39
13037,56.08,43.77
13039,31.85,67.51
13043,26.18,73.69
13045,29.15,70.31
13047,21.99,77.49
13049,21.76,77.94
13051,58.65,40.63
13053,41.5,57.97
13055,17.71,81.91
13057,30.09,69.1
13059,68.63,30.35
13061,53.47,45.98
13063,84.31,15.11
13065,24.14,75.69
13067,56.91,42.03
13069,27.33,72.47
13071,24.77,74.96
13073,36.81,62.45
13075,26.59,73.05
13077,32.72,66.58
13079,24.95,74.79
13081,36.88,62.83
13083,16.38,82.98
13085,17.13,82.38
13087,37.86,61.82
13089,81.86,17.11
13091,24.92,74.84
13093,45.99,53.7
13095,70.4,29.26
13097,65.38,33.93
13099,44.23,55.71
13101,8.83,90.89
13103,25.23,74.34
13105,28.16,71.54
13107,27.79,71.93
13109,28.61,70.95
13111,17.44,82.21
13113,48.0,51.15
13115,28.75,70.7
13117,32.92,66.03
13119,13.57,86.15
13121,71.88,27.03
13123,18.47,81.03
13125,7.96,91.86
13127,36.76,62.76
13129,18.05,81.49
13131,30.7,68.9
13133,35.3,64.25
13135,57.65,41.13
13137,17.34,82.23
13139,27.8,71.58
13141,67.55,32.17
13143,12.62,87.01
13145,26.73,72.84
13147,22.4,77.2
13149,13.83,85.91
13151,64.52,34.86
13153,44.05,55.32
13155,22.71,76.92
13157,22.17,77.25
13159,20.63,79.0
13161,15.74,84.04
13163,49.23,50.45
13165,34.58,65.03
13167,26.76,73.12
13169,30.82,68.85
13171,26.84,72.75
13173,26.63,72.97
13175,33.49,66.2
13177,28.03,71.57
13179,58.45,41.0
13181,27.4,72.18
13183,35.09,64.58
13185,40.77,58.75
13187,18.85,80.52
13189,37.36,62.28
13191,35.48,64.08
13193,58.79,40.89
13195,22.36,77.15
13197,34.6,64.84
13199,37.1,62.56
13201,24.6,75.07
13205,41.69,58.02
