fips,elevation_ft
01001,435.4
01003,154.3
01005,460.4
01007,363.2
01009,573.7
01011,481.1
01013,359.6
01015,719.8
01017,830.1
01019,599.1
01021,561.2
01023,342.2
01025,309.1
01027,1070.5
01029,946.7
01031,395.1
01033,675.5
01035,234.7
01037,451.4
01039,218.8
01041,373.9
01043,666.8
01045,259.8
01047,110.0
01049,1260.9
01051,315.1
01053,166.7
01055,778.9
01057,585.0
01059,840.6
01061,143.0
01063,145.8
01065,226.1
01067,278.4
01069,224.7
01071,1286.5
01073,569.9
01075,312.9
01077,659.2
01079,623.0
01081,706.3
01083,705.9
01085,219.6
01087,332.2
01089,920.3
01091,188.9
01093,516.6
01095,610.7
01097,186.4
01099,366.1
01101,245.6
01103,694.2
01105,277.3
01107,271.2
01109,425.2
01111,947.6
01113,359.1
01115,922.4
01117,644.2
01119,122.9
01121,595.8
01123,636.3
01125,322.5
01127,525.9
01129,141.0
01131,205.4
01133,739.8
02013,14.2
02016,456.6
02020,3993.2
02050,594.1
02060,69.6
02063,455.6
02066,9764.3
02068,3151.8
02070,220.0
02090,2071.5
02100,2966.4
02105,103.1
02110,668.5
02122,35.4
02130,483.6
02150,54.8
02158,290.9
02164,821.7
02170,3204.7
02180,1345.1
02185,509.7
02188,180.6
02195,3152.5
02198,1783.4
02220,34.8
02230,90.1
02240,2414.6
02275,585.1
02282,1609.5
02290,2046.5
04001,6143.5
04003,4452.7
04005,6810.4
04007,3311.1
04009,2771.6
04011,5555.0
04012,1670.1
04013,884.0
04015,5117.5
04017,5897.9
04019,3473.6
04021,1701.8
04023,4071.5
04025,5864.1
04027,279.2
05001,191.9
05003,173.8
05005,769.6
05007,1235.6
05009,1197.6
05011,166.2
05013,188.3
05015,1243.8
05017,122.4
05019,302.8
05021,286.6
05023,972.2
05025,181.2
05027,314.6
05029,682.4
05031,241.9
05033,845.1
05035,219.4
05037,347.9
05039,270.4
05041,146.4
05043,206.4
05045,281.6
05047,680.3
05049,696.7
05051,471.6
05053,298.1
05055,426.0
05057,361.6
05059,359.5
05061,428.5
05063,329.0
05065,659.9
05067,233.1
05069,209.5
05071,824.5
