fips,dist_to_coast_mi,dist_to_mountains_mi
01001,150.9,318.1
01003,37.1,456.7
01005,116.7,307.0
01007,180.8,318.7
01009,249.9,256.5
01011,131.4,304.1
01013,98.3,358.4
01015,246.3,227.4
01017,188.5,248.4
01019,267.4,207.8
01021,171.8,307.0
01023,117.8,399.8
01025,96.1,408.2
01027,212.4,250.3
01029,240.1,217.1
01031,84.8,352.8
01033,299.4,305.8
01035,72.3,387.0
01037,183.7,282.2
01039,73.4,377.3
01041,105.6,346.0
01043,258.6,267.6
01045,85.2,339.2
01047,133.7,347.6
01049,292.1,202.8
01051,164.1,294.0
01053,49.9,410.1
01055,261.1,227.3
01057,231.5,326.2
01059,281.8,312.7
01061,62.1,365.6
01063,174.8,365.6
01065,164.5,352.7
01067,95.0,323.2
01069,70.4,346.7
01071,309.8,204.8
01073,218.6,287.3
01075,239.7,337.1
01077,312.3,294.6
01079,285.4,282.5
01081,167.4,263.6
01083,305.0,258.8
01085,125.1,337.0
01087,151.1,287.6
01089,303.9,235.9
01091,132.3,381.6
01093,261.3,321.3
01095,274.9,234.0
01097,32.1,467.6
01099,82.3,395.0
01101,137.7,316.5
01103,280.9,258.3
01105,154.8,342.0
01107,207.0,352.7
01109,111.4,328.8
01111,214.4,232.0
01113,147.5,275.7
01115,235.2,252.6
01117,200.6,286.7
01119,159.7,375.0
01121,213.8,259.9
01123,184.1,267.0
01125,200.6,327.6
01127,234.4,300.0
01129,78.5,429.6
01131,110.0,371.8
01133,259.6,293.3
02013,63.5,456.3
02016,186.4,1156.9
02020,20.6,39.7
02050,250.6,213.0
02060,75.4,150.9
02063,13.7,120.5
02066,123.0,13.9
02068,171.5,50.2
02070,140.6,156.7
02090,262.5,174.7
02100,9.2,335.3
02105,44.7,360.3
02110,9.5,406.0
02122,52.0,57.6
02130,22.0,632.4
02150,56.4,179.4
02158,167.7,334.0
02164,55.2,173.8
02170,74.8,45.3
02180,40.8,416.0
02185,134.9,132.7
02188,31.4,273.4
02195,86.4,497.9
02198,66.6,570.6
02220,13.6,436.6
02230,38.8,322.5
02240,246.9,129.2
02275,63.1,570.7
02282,187.4,171.5
02290,238.1,158.2
04001,479.4,119.7
04003,430.7,254.8
04005,381.5,44.6
04007,374.5,107.3
04009,420.8,185.1
04011,458.7,191.1
04012,196.4,172.2
04013,273.1,138.1
04015,288.6,126.2
04017,436.7,73.3
04019,311.5,212.5
04021,334.5,158.2
04023,372.5,257.6
04025,299.1,67.9
04027,186.5,213.6
05001,322.8,159.1
05003,277.2,205.4
05005,455.4,73.3
05007,487.3,56.3
05009,478.0,42.0
05011,306.9,178.1
05013,323.3,164.6
05015,491.7,37.2
05017,262.7,215.3
05019,342.0,122.1
05021,400.3,176.5
05023,418.5,84.9
05025,329.0,151.3
05027,286.4,178.7
05029,420.5,58.7
05031,401.3,160.7
05033,435.4,43.9
05035,354.3,184.5
05037,368.7,157.9
05039,346.3,135.4
05041,292.0,186.9
05043,295.4,183.2
05045,402.3,79.5
05047,432.3,29.7
05049,434.3,102.1
05051,377.4,86.7
05053,358.2,121.1
05055,419.2,165.6
05057,313.7,142.9
05059,363.2,107.3
05061,333.9,121.8
05063,415.4,108.8
05065,446.3,91.0
05067,398.5,128.5
05069,340.0,137.7
05071,440.4,15.8
05073,281.2,177.0
05075,424.2,135.3
05077,336.8,168.8
05079,315.9,161.7
05081,306.0,150.9
05083,413.8,42.0
05085,365.8,115.8
05087,468.0,19.3
05089,467.0,56.1
05091,281.8,173.9
05093,388.3,193.3
05095,341.1,151.0
05097,368.5,87.2
05099,314.3,147.8
05101,466.0,17.7
05103,317.4,156.6
05105,405.2,67.2
05107,316.3,177.1
05109,342.3,113.8
05111,385.4,159.0
05113,360.2,99.4
05115,437.8,35.6
05117,360.0,128.5
05119,380.4,97.7
05121,415.8,143.0
05123,351.6,163.8
05125,386.5,92.2
05127,386.5,72.4
05129,456.5,45.5
05131,408.6,60.3
05133,326.0,131.6
05135,437.3,116.3
05137,437.9,76.3
05139,295.9,189.0
05141,432.9,57.2
05143,462.7,42.0
05145,391.0,105.2
05147,373.7,133.6
05149,402.0,55.7
06001,33.8,126.5
06003,157.3,36.8
06005,109.8,54.3
06007,124.0,89.3
06009,109.3,62.1
06011,80.8,114.7
06013,31.0,129.1
06015,11.8,196.7
06017,126.5,31.9
06019,116.9,64.9
06021,84.7,127.8
06023,32.7,231.2
06025,108.0,261.5
06027,197.5,49.8
06029,85.5,89.9
06031,76.5,91.9
06033,53.2,141.8
06035,198.1,115.0
06037,34.5,166.1
06039,126.0,34.9
06041,22.0,160.3
06043,128.6,19.1
06045,39.3,180.3
06047,76.9,70.8
06049,179.9,172.2
06051,189.6,42.3
06053,40.9,138.4
06055,49.8,126.7
06057,139.4,38.5
06059,24.4,204.2
06061,129.8,33.5
06063,171.0,72.7
06065,106.1,237.0
06067,77.2,80.7
06069,45.2,111.1
06071,140.2,169.2
06073,40.8,261.8
06075,29.5,184.9
06077,67.6,92.7
06079,25.4,146.4
06081,27.5,153.1
06083,21.5,172.8
06085,44.5,119.3
06087,29.1,140.5
06089,126.1,154.2
06091,162.6,39.9
06093,86.4,173.2
06095,44.4,114.7
06097,49.1,157.2
06099,82.9,77.3
06101,95.7,86.2
06103,115.3,133.8
06105,69.6,192.3
06107,131.8,37.1
06109,139.0,29.8
06111,32.5,161.8
06113,68.9,101.2
06115,119.2,67.7
08001,777.5,62.5
08003,728.8,56.1
08005,788.2,66.7
08007,655.4,37.0
08009,710.9,221.8
08011,762.5,193.3
08013,810.4,8.5
08014,802.6,24.0
08015,743.1,61.9
08017,764.3,174.4
08019,807.0,18.6
08021,699.1,48.0
08023,738.5,80.6
08025,806.9,149.2
08027,765.3,82.6
08029,676.5,98.9
08031,804.4,36.7
08033,605.1,93.3
08035,826.4,55.7
08037,756.9,37.0
08039,795.5,87.6
08041,829.0,95.2
08043,774.2,84.9
08045,700.3,101.7
08047,819.1,9.7
08049,800.4,33.2
08051,706.5,68.5
08053,659.7,32.8
08055,773.4,100.6
08057,810.3,63.3
08059,822.2,32.0
08061,775.6,184.3
08063,740.0,161.4
08065,758.7,33.1
08067,619.9,63.7
08069,790.1,45.5
08071,762.6,153.3
08073,788.6,127.0
08075,689.4,136.5
08077,654.2,128.1
08079,668.8,15.2
08081,727.3,136.4
08083,586.0,101.5
08085,642.6,93.6
08087,739.1,91.0
08089,783.7,168.6
08091,653.8,62.4
08093,783.8,36.5
08095,666.7,171.2
08097,733.0,55.6
08099,740.1,218.5
08101,810.6,128.5
08103,701.8,119.6
08105,693.5,24.1
08107,774.5,80.4
08109,721.6,38.4
08111,645.2,47.9
08113,619.5,91.3
08115,654.1,176.0
08117,782.8,7.5
08119,799.3,66.6
08121,729.7,121.3
08123,748.9,70.3
08125,698.3,162.9
09110,71.9,152.2
09120,49.2,195.1
09130,61.9,177.2
09140,70.6,172.7
09150,46.3,143.4
09160,87.2,148.9
09170,68.8,190.2
09180,41.9,168.8
09190,46.5,188.0
10001,67.7,166.6
10003,72.7,170.3
10005,47.3,171.2
11001,103.1,84.7
12001,71.6,409.4
12003,48.1,364.7
12005,10.3,415.1
12007,50.4,390.7
12009,39.0,515.4
12011,24.2,660.9
12013,32.7,392.5
12015,50.1,601.4
12017,25.0,466.4
12019,35.9,389.6
12021,22.0,658.3
12023,68.1,371.7
12027,50.8,582.5
12029,64.7,420.0
12031,9.9,367.1
12033,11.5,447.8
12035,25.7,429.1
12037,31.0,430.7
12039,63.5,367.8
12041,84.7,406.4
12043,75.9,602.3
12045,34.8,428.1
12047,86.7,353.5
12049,48.2,561.6
12051,53.4,631.0
12053,11.3,486.7
12055,65.9,574.7
12057,36.6,532.5
12059,46.3,379.3
12061,12.7,557.4
12063,50.1,367.4
12065,53.2,368.8
12067,70.1,389.6
12069,52.5,474.6
12071,64.0,625.1
12073,52.5,369.8
12075,53.9,437.7
12077,49.8,393.7
12079,71.6,360.4
12081,13.7,561.4
12083,62.8,442.8
12085,49.5,601.3
12086,10.3,699.9
12087,27.8,697.4
12089,21.2,347.7
12091,39.2,417.9
12093,41.4,575.4
12095,51.3,494.4
12097,48.6,527.1
12099,43.6,630.2
12101,17.5,503.7
12103,37.0,531.9
12105,67.4,530.4
12107,51.8,417.4
12109,35.7,399.6
12111,29.2,580.7
12113,21.9,429.0
12115,16.2,578.7
12117,36.1,484.1
12119,41.0,476.5
12121,85.3,374.9
12123,43.7,394.8
12125,57.0,383.3
12127,13.9,458.7
12129,27.3,395.6
12131,37.7,407.0
12133,27.9,390.6
13001,74.1,267.0
13003,102.6,298.1
13005,88.0,279.8
13007,107.0,316.5
13009,141.9,180.7
13011,208.4,103.1
13013,199.9,130.7
13015,261.9,162.4
13017,122.6,269.2
13019,119.5,300.8
13021,159.0,204.6
13023,132.4,223.8
13025,62.1,305.7
13027,88.6,335.9
13029,20.6,254.9
13031,42.7,225.7
13033,84.5,177.8
13035,185.4,179.9
13037,111.3,307.2
13039,36.5,327.6
13043,60.5,222.2
13045,236.5,202.4
13047,302.6,156.6
13049,46.2,333.7
13051,8.3,262.9
13053,157.8,260.2
13055,295.0,178.8
13057,245.0,145.9
13059,183.4,124.0
13061,106.7,310.1
13063,216.9,178.5
13065,79.9,323.7
13067,238.0,164.4
13069,109.3,280.6
13071,107.7,313.4
13073,120.5,142.2
13075,113.0,311.9
13077,224.7,201.7
13079,173.1,216.9
13081,156.1,264.3
13083,317.2,177.4
13085,240.2,123.9
13087,81.4,347.6
13089,214.9,160.0
13091,121.1,240.5
13093,158.4,249.8
13095,126.7,297.7
13097,239.8,183.9
13099,90.8,326.4
13101,85.9,338.4
13103,23.0,233.3
13105,172.0,104.3
13107,77.8,208.2
13109,46.4,240.7
13111,266.3,114.4
13113,217.1,189.0
13115,280.9,179.3
13117,228.5,132.4
13119,199.6,94.1
13121,227.5,167.7
13123,263.6,127.1
13125,117.3,164.0
13127,56.2,308.6
13129,274.2,154.0
13131,81.3,341.6
13133,157.5,144.8
13135,212.6,142.7
13137,224.2,88.4
13139,219.5,115.9
13141,136.9,163.5
13143,250.0,198.5
13145,181.0,241.4
13147,189.0,90.3
13149,216.1,219.2
13151,200.5,175.7
13153,151.7,227.1
13155,132.3,279.7
13157,200.0,118.0
13159,172.4,171.7
13161,92.3,261.9
13163,101.4,175.7
13165,69.9,196.2
13167,100.1,201.0
13169,156.9,188.2
