state,state_income_tax_pct,lgbtq_policy_score
AL,5.0,10
AK,0.0,30
AZ,2.5,30
AR,4.4,5
CA,13.3,95
CO,4.4,90
CT,6.99,95
DE,6.6,90
DC,10.75,100
FL,0.0,15
GA,5.39,25
HI,11.0,90
ID,5.8,10
IL,4.95,95
IN,3.05,30
IA,5.7,25
KS,5.7,25
KY,4.0,20
LA,4.25,20
ME,7.15,90
MD,5.75,90
MA,9.0,95
MI,4.25,80
MN,9.85,90
MS,4.7,5
MO,4.8,25
MT,5.9,25
NE,5.84,25
NV,0.0,90
NH,0.0,80
NJ,10.75,95
NM,5.9,90
NY,10.9,95
NC,4.5,35
ND,2.5,15
OH,3.5,35
OK,4.75,10
OR,9.9,90
PA,3.07,50
RI,5.99,90
SC,6.2,20
SD,0.0,15
TN,0.0,5
TX,0.0,20
UT,4.55,25
VT,8.75,95
VA,5.75,60
WA,0.0,95
WV,5.12,25
WI,7.65,50
WY,0.0,25
