summer_high_f,winter_low_f,dew_point_f,annual_precip_in,annual_snow_in,sunshine_pct,fips
89.8,42.3,69.9,57.4,0.1,77.0,01001
89.5,46.3,73.2,70.3,0.0,77.8,01003
90.9,43.7,69.5,48.4,0.0,76.6,01005
90.3,41.1,69.8,56.6,0.1,76.3,01007
87.7,38.8,68.0,59.9,0.4,75.5,01009
90.8,43.3,69.4,47.7,0.0,76.8,01011
91.4,43.8,70.5,52.1,0.0,76.5,01013
88.8,41.7,69.4,54.8,0.1,76.1,01123
89.3,40.9,70.7,58.7,0.1,76.4,01125
89.4,39.1,69.5,60.3,0.2,75.8,01127
92.4,44.2,71.4,61.7,0.1,76.5,01129
91.2,43.8,70.9,53.3,0.0,76.6,01131
88.6,38.1,68.3,58.1,0.8,75.1,01133
54.4,28.4,47.1,73.5,29.4,43.6,02013
89.9,37.4,69.2,51.5,1.5,76.1,05077
90.3,39.1,70.0,53.3,1.3,75.9,05079
92.0,39.0,69.6,54.3,1.0,75.2,05081
90.5,35.2,67.5,49.4,2.6,75.2,05083
90.0,37.6,69.9,54.3,1.5,76.1,05085
86.7,32.1,65.7,44.9,4.2,75.2,05087
89.2,32.4,66.9,45.3,3.9,75.6,05089
79.3,41.4,55.1,19.6,0.1,89.8,06111
98.9,41.3,48.3,16.1,0.1,87.1,06113
95.0,40.0,45.0,29.2,0.6,85.5,06115
86.8,21.6,47.1,17.2,14.1,83.4,08001
82.4,7.0,38.3,11.0,11.6,91.0,08003
85.2,21.4,45.1,17.8,16.1,84.6,08005
80.6,7.9,42.4,20.2,24.5,87.3,08007
88.7,49.8,73.7,55.4,0.0,81.5,12029
88.2,50.4,73.8,49.1,0.0,78.3,12031
88.9,46.4,73.7,72.9,0.0,77.8,12033
88.8,52.9,73.6,52.5,0.0,80.3,12035
86.4,51.1,74.3,54.7,0.0,81.0,12037
90.1,47.0,72.1,56.0,0.0,76.9,12039
90.0,49.4,72.8,46.2,0.0,79.5,12041
87.6,39.5,68.1,59.7,0.2,74.0,13077
