fips,summer_high_f,winter_low_f,summer_avg_f,annual_avg_f,annual_precip_in,annual_snow_in
01001,90.5,36.6,79.9,64.2,57.6,0.2
01003,89.2,40.3,79.8,66.1,68.7,0.1
01005,91.1,38.7,80.7,65.7,54.8,0.5
01007,89.8,35.0,78.8,62.8,57.7,0.7
01009,88.5,33.3,78.0,61.2,58.8,0.9
01011,89.1,37.1,79.0,64.0,55.4,0.6
01013,90.8,37.6,79.8,65.1,58.7,0.3
01015,88.5,34.2,78.1,61.9,54.1,0.4
01017,88.9,32.3,77.4,61.4,55.4,0.2
01019,88.1,32.0,77.1,60.2,56.5,0.5
01021,89.1,35.4,78.6,62.8,57.4,0.4
01023,90.8,37.9,80.4,65.0,57.1,0.4
01025,90.0,36.9,79.6,64.6,60.5,0.2
01027,88.9,32.7,77.3,61.3,58.7,1.5
01029,87.9,32.8,77.1,61.0,55.6,0.9
01031,91.5,39.8,80.9,66.8,60.4,0.2
01033,89.2,33.3,78.7,61.4,59.4,0.6
01035,91.0,39.2,80.5,66.0,59.2,0.4
01037,88.2,35.3,78.0,62.4,58.6,1.0
01039,91.5,40.3,81.4,67.1,59.7,0.3
01041,89.0,37.4,78.5,64.0,56.5,0.5
01043,87.6,32.5,77.0,60.3,60.2,0.8
01045,91.7,40.7,81.3,67.1,55.8,0.0
01047,91.0,37.0,80.4,64.7,55.2,0.3
01049,87.8,32.9,77.5,60.6,58.3,3.2
01051,89.4,35.3,78.9,63.2,54.5,0.3
01053,89.9,39.8,80.2,66.0,66.0,0.0
01055,88.5,34.2,78.5,61.7,57.7,0.6
01057,90.2,35.2,79.5,62.9,59.3,0.4
01059,88.4,33.1,77.7,60.7,58.4,0.7
01061,91.1,38.4,80.1,66.0,61.1,0.1
01063,90.2,36.2,79.9,63.8,57.3,0.0
01065,89.6,37.5,79.7,64.1,55.2,0.1
01067,91.2,40.3,81.2,66.7,56.9,0.2
01069,91.9,41.3,81.7,67.5,56.6,0.1
01071,87.7,31.4,76.9,59.7,58.1,1.3
01073,90.0,35.6,79.6,63.2,57.8,1.3
01075,90.3,34.9,79.6,63.0,59.7,0.6
01077,89.2,33.3,78.7,61.4,57.9,
01079,87.5,32.2,77.3,60.3,58.8,1.8
01081,88.5,36.1,78.6,63.2,55.4,0.3
01083,88.8,34.4,79.0,61.8,58.7,1.2
01085,91.6,38.2,81.0,65.7,53.7,0.2
01087,88.7,35.8,78.6,63.1,54.5,0.5
01089,,,,,56.1,
01091,90.4,37.2,80.0,64.7,56.6,0.1
01093,89.3,31.9,78.2,61.0,62.5,1.1
01095,87.6,34.8,78.9,61.7,57.3,0.7
01097,90.6,43.2,81.7,68.0,69.5,0.2
01099,91.0,38.0,80.4,65.6,56.3,0.2
01101,92.7,40.4,82.5,67.1,53.1,
01103,89.2,33.9,78.9,61.9,59.5,1.8
01105,90.8,35.1,79.6,63.6,55.6,0.6
