fips,dew_point_f,sunshine_pct
01001,69.7,50.3
01003,72.6,36.2
01005,70.0,48.1
01007,69.4,51.2
01009,68.4,41.6
01011,69.7,50.3
01013,70.8,44.9
01015,68.4,45.8
01017,69.2,53.1
01019,67.9,32.9
01021,69.4,49.5
01023,70.5,53.9
01025,71.5,50.1
01027,68.9,52.5
01029,68.1,43.0
01031,71.0,43.8
01033,68.3,52.9
01035,71.8,46.9
01037,69.1,49.5
01039,72.0,40.8
01041,70.8,45.0
01043,68.2,40.5
01045,70.7,45.7
01047,69.6,50.9
01049,67.5,16.2
01051,69.7,50.7
01053,73.1,40.9
01055,68.2,36.7
01057,69.2,48.5
01059,68.4,48.3
01061,71.5,42.8
01063,69.7,55.7
01065,69.6,55.1
01067,70.7,38.6
01069,71.5,40.7
01071,67.6,19.6
01073,68.6,43.8
01075,69.1,52.4
01077,68.3,53.1
01079,68.2,46.8
01081,69.5,50.6
01083,68.2,39.9
01085,70.1,51.4
01087,69.6,50.4
01089,68.0,35.5
01091,70.1,57.3
01093,68.9,52.8
01095,68.4,40.5
01097,72.0,35.7
01099,71.6,48.0
01101,70.2,49.2
01103,68.2,37.6
01105,69.5,51.7
01107,69.8,55.3
01109,70.4,47.1
01111,68.3,50.1
01113,69.7,49.0
01115,68.5,45.3
01117,68.8,47.8
01119,70.1,59.5
01121,68.8,50.5
01123,69.1,55.3
01125,69.7,57.0
01127,68.9,44.1
01129,71.6,48.1
01131,70.0,56.0
01133,68.2,43.9
02013,46.1,2.3
02016,44.0,0.5
02020,48.0,17.4
02050,47.2,13.4
02060,47.0,13.5
02063,48.3,3.9
02066,43.1,17.3
02068,47.9,34.7
02070,47.0,13.5
02090,45.7,8.9
02100,49.7,4.9
02105,50.0,5.6
02110,49.7,4.9
02122,47.4,3.2
02130,51.2,9.4
02150,47.6,16.9
02158,47.2,13.4
02164,47.0,13.5
02170,47.9,31.1
02180,44.1,23.1
02185,35.4,14.3
02188,45.0,32.1
02195,50.6,7.0
02198,51.2,9.4
02220,50.5,6.7
02230,49.7,4.9
02240,44.2,5.7
02275,51.2,9.4
02282,49.4,9.8
02290,44.7,27.8
04001,39.8,72.8
04003,49.1,51.3
04005,38.4,56.8
04007,46.4,44.0
04009,48.1,22.2
04011,47.4,1.1
04012,50.0,84.7
04013,48.3,52.9
04015,39.7,30.1
04017,40.5,75.9
04019,49.9,70.4
04021,50.0,66.0
04023,49.9,76.6
04025,43.4,60.3
04027,51.9,85.3
05001,69.9,46.8
05003,70.7,58.3
05005,67.7,52.8
05007,67.0,61.8
05009,66.1,61.4
05011,70.6,58.0
05013,70.6,57.7
05015,66.2,61.5
05017,70.7,58.3
05019,69.9,49.7
05021,68.3,16.7
05023,69.9,41.9
05025,70.0,51.2
05027,70.3,53.4
05029,69.8,41.1
05031,68.5,26.5
05033,67.8,61.6
05035,68.6,35.7
05037,69.2,33.1
05039,70.0,49.1
05041,69.9,47.0
05043,70.5,58.3
05045,69.9,40.9
05047,67.7,61.9
05049,68.2,0.0
05051,69.8,42.0
05053,69.8,44.3
05055,68.4,22.4
05057,70.0,55.5
05059,69.8,42.8
05061,69.6,60.5
05063,69.4,27.1
05065,69.3,25.5
05067,69.4,34.4
05069,69.9,52.2
05071,68.2,57.9
05073,70.1,53.7
05075,68.9,21.4
05077,69.4,41.7
05079,69.9,50.2
05081,69.9,56.3
05083,68.2,55.0
05085,69.8,40.8
05087,66.9,61.9
05089,67.2,56.4
05091,69.9,56.8
05093,68.5,30.7
05095,69.9,44.2
05097,69.2,51.5
05099,70.1,59.1
05101,68.1,57.4
05103,70.2,58.3
05105,69.8,41.0
05107,69.6,44.3
05109,69.8,51.4
05111,68.9,24.8
05113,68.8,61.0
05115,68.8,44.3
05117,69.9,42.7
05119,69.7,35.0
05121,68.2,0.0
05123,69.2,33.0
05125,69.8,40.2
05127,68.3,61.9
05129,68.8,45.0
05131,68.2,61.5
05133,69.6,60.6
05135,69.1,19.7
05137,69.8,36.9
05139,70.6,57.3
05141,69.1,42.6
05143,66.8,62.1
05145,69.9,41.9
05147,69.5,34.6
05149,69.3,45.6
06001,53.3,47.7
06003,41.8,36.3
06005,53.0,69.7
06007,47.3,45.4
06009,52.8,70.6
06011,52.1,59.0
06013,53.3,49.1
06015,49.1,32.3
06017,47.1,38.1
06019,50.5,53.5
06021,49.4,65.9
06023,50.5,38.8
06025,53.2,86.0
06027,34.9,73.7
06029,49.0,79.7
06031,50.1,68.2
06033,51.0,53.7
06035,45.2,62.9
06037,55.7,72.9
06039,47.7,61.3
06041,53.2,48.4
06043,47.0,65.5
06045,49.4,57.6
06047,52.4,57.4
06049,44.2,25.3
06051,37.7,69.1
06053,49.6,68.1
06055,53.0,66.0
06057,39.9,9.0
06059,57.5,56.6
06061,44.3,25.6
06063,41.3,34.4
06065,53.7,84.7
06067,53.2,68.9
06069,50.5,68.4
06071,46.9,80.8
06073,59.8,47.3
06075,53.2,47.2
06077,52.2,75.4
06079,51.7,70.1
06081,53.2,45.3
06083,56.6,64.3
06085,53.0,51.8
06087,53.1,50.0
06089,47.9,54.2
06091,40.6,22.8
06093,45.3,20.5
06095,52.6,66.8
06097,51.7,50.9
06099,52.6,65.4
06101,53.3,64.3
06103,49.5,72.3
06105,50.1,62.9
06107,46.4,68.2
06109,52.2,68.1
06111,57.4,73.7
06113,53.2,64.7
06115,47.6,39.5
08001,46.4,12.5
08003,41.8,63.0
08005,46.3,13.4
08007,40.3,73.5
08009,50.0,29.8
08011,49.9,65.6
08013,46.3,13.2
08014,46.3,13.5
08015,42.8,44.5
08017,52.5,76.5
08019,46.3,13.0
08021,40.5,68.6
08023,43.3,54.0
08025,49.7,66.2
08027,45.3,55.0
08029,40.7,64.2
08031,46.3,16.4
08033,40.4,69.4
08035,46.1,12.7
08037,42.7,1.4
08039,47.7,45.9
08041,47.2,28.5
08043,45.8,48.7
08045,40.3,46.1
08047,46.3,13.1
08049,44.2,12.2
08051,40.7,64.0
08053,40.7,68.0
08055,45.1,49.1
08057,41.3,40.1
08059,46.2,12.7
08061,52.1,77.4
08063,52.8,74.9
08065,46.2,13.7
08067,40.4,72.6
08069,43.3,47.3
08071,47.3,29.4
08073,49.2,64.1
08075,51.9,55.5
08077,40.1,68.5
08079,40.6,69.1
08081,38.3,19.9
08083,40.4,72.6
08085,40.8,63.4
08087,49.0,44.0
08089,49.9,65.8
08091,40.9,62.9
08093,46.2,13.1
08095,52.7,59.3
08097,40.5,45.7
08099,54.7,77.9
08101,48.8,70.3
08103,40.1,32.0
08105,40.5,68.6
08107,40.2,14.3
08109,42.7,70.0
08111,40.7,67.9
08113,40.5,67.7
08115,53.3,54.2
08117,46.3,12.9
08119,46.9,24.0
08121,50.6,65.5
08123,45.8,35.1
08125,53.2,65.8
09110,60.4,24.3
09120,61.8,46.6
09130,61.0,33.5
09140,61.1,31.2
09150,60.3,18.9
09160,60.8,22.8
09170,61.4,37.3
09180,60.8,28.6
09190,61.4,23.6
10001,65.5,45.5
10003,64.4,39.9
10005,65.5,43.0
11001,64.6,25.7
12001,72.1,12.6
12003,71.8,25.3
12005,73.8,48.6
12007,72.0,15.8
12009,73.0,41.5
12011,73.7,20.9
12013,72.6,44.7
12015,73.1,49.5
12017,73.0,27.6
12019,71.9,17.7
12021,73.3,51.2
12023,71.8,18.2
12027,73.1,46.6
12029,72.2,7.1
12031,71.9,24.1
12033,73.1,41.0
12035,71.9,28.7
12037,72.8,43.0
12039,71.8,35.0
12041,72.1,9.7
12043,73.2,43.1
12045,73.2,44.2
12047,71.4,30.5
12049,73.3,45.4
12051,73.2,43.7
12053,73.2,44.4
12055,73.2,51.0
12057,73.2,36.0
12059,72.1,42.8
12061,73.0,41.3
12063,72.1,43.7
12065,71.4,36.3
12067,71.8,17.6
12069,72.3,31.9
12071,73.2,54.0
12073,71.5,34.9
12075,72.8,16.6
12077,72.3,42.2
12079,71.3,37.5
12081,73.3,44.6
12083,72.3,31.0
12085,73.5,19.6
12086,74.0,37.4
12087,74.1,34.3
12089,72.2,28.6
12091,72.7,40.3
12093,73.2,27.5
12095,72.5,41.3
12097,72.8,39.0
12099,73.6,17.0
12101,73.2,37.3
12103,73.5,47.7
12105,72.7,32.9
12107,71.8,20.0
12109,71.8,20.2
12111,73.3,26.4
12113,73.0,42.9
12115,73.3,46.1
12117,72.2,29.3
12119,72.3,31.8
12121,71.7,23.7
12123,71.8,21.3
12125,72.1,14.8
12127,72.2,28.6
12129,72.0,38.2
12131,73.0,40.3
12133,72.6,43.7
13001,72.3,47.8
13003,71.0,35.3
13005,71.7,46.5
13007,70.8,27.8
13009,69.1,55.7
13011,67.4,50.0
13013,67.4,49.2
13015,67.2,19.0
13017,71.0,32.8
13019,71.0,35.2
13021,69.3,52.9
13023,69.7,49.5
13025,72.4,40.6
13027,71.3,37.8
13029,72.0,38.8
13031,72.0,38.0
13033,69.7,51.4
13035,67.9,42.9
13037,70.6,31.4
13039,72.4,40.4
13043,71.2,46.0
13045,67.7,43.6
13047,67.2,22.6
13049,72.2,33.3
13051,72.1,41.8
13053,69.6,47.0
13055,67.2,12.4
13057,67.2,26.3
13059,67.6,58.5
13061,70.6,36.5
13063,67.2,33.9
13065,71.4,35.8
13067,67.3,34.2
13069,71.0,34.1
13071,71.0,32.1
13073,69.0,55.6
13075,71.0,35.4
13077,67.5,40.0
13079,69.4,54.8
13081,70.0,40.3
13083,67.4,18.8
13085,67.2,25.7
13087,71.1,32.2
13089,67.3,40.0
13091,69.8,46.4
13093,69.9,44.8
13095,70.6,21.5
13097,67.2,32.6
13099,70.6,35.3
13101,71.3,36.5
13103,71.9,37.7
13105,67.7,60.3
13107,70.3,49.3
13109,72.0,38.2
13111,66.9,18.3
13113,67.4,37.2
13115,67.2,8.1
13117,67.4,44.6
13119,66.4,59.7
13121,67.3,40.2
13123,67.3,22.3
13125,69.1,57.8
13127,72.8,56.3
13129,67.3,16.5
13131,71.2,30.9
13133,68.5,57.8
13135,67.3,44.0
